Id,SalePrice
1461,125161.00131378423
1462,165750.43744070406
1463,190184.38904598568
1464,195059.97116284398
1465,184239.77789289967
1466,175368.87593801305
1467,178750.92546540804
1468,169221.17878073358
1469,183064.0927500996
1470,122223.02704189155
1471,205346.82820274468
1472,104743.80616347172
1473,100608.27292764396
1474,149459.78774376036
1475,114176.31439899701
1476,373230.50075707026
1477,251175.9288640788
1478,295875.5447361458
1479,288262.1447787522
1480,508124.69254613854
1481,303330.41202708916
1482,207091.3414141801
1483,178612.12126937593
1484,165295.46731851398
1485,181395.9532960526
1486,201249.62793690094
1487,332691.0566500532
1488,240714.84281129026
1489,206849.55086001128
1490,232121.5005184781
1491,200421.41942760695
1492,89442.12718235892
1493,186383.38795045635
1494,297977.0332736227
1495,281043.5274776436
1496,242518.8776004593
1497,181950.06232844773
1498,165902.89005016742
1499,161362.20328004417
1500,162310.63695018282
1501,190807.57653076432
1502,148820.1183094996
1503,302073.8142554855
1504,238844.3861670357
1505,225657.66130121888
1506,185103.22149209096
1507,252671.267472154
1508,198973.36630267525
1509,159394.28556989614
1510,148366.0154046577
1511,150507.88278998784
1512,179015.19270849772
1513,149373.4735630314
1514,159431.43876962273
1515,214764.799894346
1516,158517.4257049843
1517,168175.2918970255
1518,127051.75875737726
1519,231288.31980590933
1520,136089.3598706634
1521,137985.53096447056
1522,177428.5427652921
1523,110663.04877319177
1524,124213.08773677978
1525,119836.95587273962
1526,109667.26554225928
1527,98194.46466413607
1528,139595.9303384442
1529,152046.69119342722
1530,182174.81392277926
1531,120038.39543608487
1532,100549.7270121976
1533,159852.46531426453
1534,128480.63163260945
1535,157035.14339230515
1536,109635.62613602159
1537,60832.94159213104
1538,165362.652915104
1539,209810.74990331355
1540,109607.57239666877
1541,149582.72358387112
1542,147999.31931050375
1543,220749.79666795497
1544,81951.9681348618
1545,109774.60638175183
1546,134119.9261957811
1547,143461.863224908
1548,139938.69442940102
1549,114446.95624160998
1550,140664.2620203022
1551,116082.79756085198
1552,143729.12782742866
1553,161774.6678281574
1554,115212.34583417838
1555,178012.6900034635
1556,82588.1179764943
1557,118779.2939697721
1558,103254.65687023434
1559,79018.51035613449
1560,136898.9640629568
1561,147173.41038832907
1562,127496.10406392017
1563,123820.13738796348
1564,167703.6756227803
1565,147774.50186609465
1566,235996.11606664848
1567,70710.62915095924
1568,230954.66759941695
1569,143098.4435891082
1570,134496.39952635608
1571,120860.88548967593
1572,150031.5790954918
1573,259103.00761837335
1574,112121.82383471371
1575,232462.71450809878
1576,249755.7106846134
1577,193592.91229236824
1578,150342.9637112963
1579,147889.9563975073
1580,192344.8195986757
1581,158438.3170267745
1582,126303.83516188983
1583,315048.628423986
1584,229422.63380768473
1585,149722.16125931285
1586,59674.749867400584
1587,94856.82408084361
1588,154845.4088424991
1589,103594.72324946545
1590,137306.94343302454
1591,91725.4336241713
1592,133030.52714732217
1593,128532.48949450215
1594,131677.7415805587
1595,110883.77592578188
1596,236083.38983571177
1597,180018.92065574348
1598,196572.00886772704
1599,176061.39229838378
1600,173198.68001507435
1601,65043.38969027417
1602,118752.17632975844
1603,73022.47811908019
1604,276882.97940532846
1605,248320.37659798702
1606,168888.81712552093
1607,174804.37819856254
1608,207921.25649631338
1609,197275.4804257045
1610,160519.8486758149
1611,140674.46213118304
1612,173442.00193215083
1613,165912.34793085986
1614,126477.26727062899
1615,86999.2165185415
1616,63079.00653451006
1617,85521.61262689765
1618,122386.85068885346
1619,147903.23059109613
1620,165572.42414775817
1621,144157.4283932444
1622,140666.2072032808
1623,282859.4953643075
1624,221076.48603469785
1625,121599.68931580732
1626,171105.91682895052
1627,191672.9366328719
1628,278040.8421153441
1629,179073.9160960341
1630,381415.7247107597
1631,215821.17461944305
1632,242527.88969332923
1633,171842.83373253432
1634,191690.6877898894
1635,180635.2015826959
1636,158667.31670789068
1637,198089.2400731699
1638,196337.47988689726
1639,183098.23830801176
1640,264650.7524664617
1641,179477.12565684633
1642,237509.86687829928
1643,225215.33983623152
1644,231027.91901133873
1645,211612.91244320708
1646,163058.77079550663
1647,154462.9300711629
1648,130670.80920659506
1649,141568.42174397223
1650,110664.15067824935
1651,118128.82496759838
1652,98409.81454868591
1653,103899.05126619949
1654,144295.57261081698
1655,134933.81146674135
1656,141883.30844005893
1657,145593.55556921547
1658,143885.7255786774
1659,118722.30155222998
1660,156924.94141527917
1661,455670.8218628769
1662,384843.1893869751
1663,376443.2241454912
1664,485940.4098995575
1665,322471.31256866775
1666,328267.6059310922
1667,366316.9942864988
1668,347530.4088299593
1669,297981.76595775643
1670,355487.85214879597
1671,266303.1613657058
1672,477580.165717961
1673,292199.31124912924
1674,245255.0233137414
1675,199015.0479363161
1676,201370.0361065464
1677,219759.79158801332
1678,471252.61701356183
1679,397519.42653091805
1680,343727.6174618439
1681,264635.98228486575
1682,304206.44331219123
1683,181933.14670235818
1684,173625.042006063
1685,180571.92874770364
1686,167775.63715474113
1687,170347.8056313603
1688,195619.0725342511
1689,197509.58764208283
1690,197028.75797746578
1691,185379.89839969183
1692,263092.03413637955
1693,169443.04398192992
1694,184474.86439916838
1695,165732.87156840993
1696,270974.83653767407
1697,169310.8952629325
1698,347935.80005768
1699,318368.7338558569
1700,251406.36034230888
1701,264676.39270455093
1702,252835.54649680763
1703,251712.6484841283
1704,283632.81555962283
1705,233748.63123795064
1706,460186.5397713471
1707,221243.0621117143
1708,211733.13346052403
1709,264803.10935029195
1710,221635.0356939314
1711,261585.76824194076
1712,265909.44620667276
1713,265014.17181949044
1714,228095.55018533568
1715,212205.48272638908
1716,194632.28631063714
1717,173385.24913147854
1718,134393.6698561963
1719,205132.643661642
1720,245835.31270249945
1721,175313.6094996827
1722,124097.15701760694
1723,161085.01781555527
1724,220590.02323608167
1725,241992.30972858888
